DOMAIN,GENDER,AGE,CBO,AGERANGE,WARD,OVCCOUNT
Health and Nutrition,Female,16.0,AMURT - Bondo,e.[15-17yrs],Yimbo East,1
Health and Nutrition,Female,14.0,AMURT - Bondo,d.[10-14yrs],South Sakwa,1
Health and Nutrition,Female,13.0,AMURT - Bondo,d.[10-14yrs],West Yimbo,1
Health and Nutrition,Male,12.0,AMURT - Bondo,d.[10-14yrs],West Sakwa,1
Health and Nutrition,Female,7.0,AMURT - Bondo,c.[5-9yrs],West Yimbo,1
Health and Nutrition,Female,4.0,AMURT - Bondo,b.[1-4yrs],South Sakwa,1
Health and Nutrition,Male,3.0,AMURT - Bondo,b.[1-4yrs],West Yimbo,1
Health,Female,22.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Female,22.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Male,21.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Female,21.0,AMURT - Bondo,f.[18-24yrs],North Sakwa,1
Health,Male,21.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Male,21.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Female,21.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Female,21.0,AMURT - Bondo,f.[18-24yrs],North Sakwa,1
Health,Male,21.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Male,21.0,AMURT - Bondo,f.[18-24yrs],Yimbo East,1
Health,Female,21.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],Yimbo East,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Yimbo,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Female,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],Central Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Female,20.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Yimbo,1
Health,Female,20.0,AMURT - Bondo,f.[18-24yrs],Central Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],South Sakwa,1
Health,Female,20.0,AMURT - Bondo,f.[18-24yrs],North Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
Health,Female,20.0,AMURT - Bondo,f.[18-24yrs],North Sakwa,1
Health,Male,20.0,AMURT - Bondo,f.[18-24yrs],West Sakwa,1
